consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,mapping,tail_rel,color_rel,shape_rel,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,002,2025-12-16_13h12.32.863,explain2,2025.1.1,Win32,60.24096386,6650e129f8317171a2a81b2b,69419aa62c0b48dee54bf6ac,6941af083d8a4b3fa08b00fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-12-16_13h12.32.863,explain2,2025.1.1,Win32,60.24096386,6650e129f8317171a2a81b2b,69419aa62c0b48dee54bf6ac,6941af083d8a4b3fa08b00fa,17.2361,17.2363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-12-16_13h12.32.863,explain2,2025.1.1,Win32,60.24096386,6650e129f8317171a2a81b2b,69419aa62c0b48dee54bf6ac,6941af083d8a4b3fa08b00fa,,,17.2368,27.1266,1,[6.900000000000006],[6.900000000000006],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-12-16_13h12.32.863,explain2,2025.1.1,Win32,60.24096386,6650e129f8317171a2a81b2b,69419aa62c0b48dee54bf6ac,6941af083d8a4b3fa08b00fa,,,,,,,,27.1269,38.7767,1,[8.650199999928475],[8.650199999928475],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-12-16_13h12.32.863,explain2,2025.1.1,Win32,60.24096386,6650e129f8317171a2a81b2b,69419aa62c0b48dee54bf6ac,6941af083d8a4b3fa08b00fa,,,,,,,,,,,,,38.7775,47.2434,Yes,6.5263,Yes,5.7985,Yes,5.1909,No,7.6385,1,[0.8331000000238404],[0.8331000000238404],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-12-16_13h12.32.863,explain2,2025.1.1,Win32,60.24096386,6650e129f8317171a2a81b2b,69419aa62c0b48dee54bf6ac,6941af083d8a4b3fa08b00fa,,,,,,,,,,,,,,,,,,,,,,,,,,47.2443,53.1269,1,[2.883399999976163],[2.883399999976163],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-12-16_13h12.32.863,explain2,2025.1.1,Win32,60.24096386,6650e129f8317171a2a81b2b,69419aa62c0b48dee54bf6ac,6941af083d8a4b3fa08b00fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1272,56.9767,Exactly Three,3.1765,1,[0.6834000000953608],[0.6834000000953608],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-12-16_13h12.32.863,explain2,2025.1.1,Win32,60.24096386,6650e129f8317171a2a81b2b,69419aa62c0b48dee54bf6ac,6941af083d8a4b3fa08b00fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9768,62.2602,1,[2.2831000000238504],[2.2831000000238504],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-12-16_13h12.32.863,explain2,2025.1.1,Win32,60.24096386,6650e129f8317171a2a81b2b,69419aa62c0b48dee54bf6ac,6941af083d8a4b3fa08b00fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2603,73.0767,1,[7.816799999952309],[7.816799999952309],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-12-16_13h12.32.863,explain2,2025.1.1,Win32,60.24096386,6650e129f8317171a2a81b2b,69419aa62c0b48dee54bf6ac,6941af083d8a4b3fa08b00fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0768,83.0271,1,[6.950200000047687],[6.950200000047687],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
