consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,mapping,tail_rel,color_rel,shape_rel,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,004,2025-12-16_13h37.57.101,explain2,2025.1.1,Win32,64.1025641,66b504cd131c63b36b682b8d,69419aa62c0b48dee54bf6ac,6941b4f981845c535b50eb81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.3748,177.2509,1,[6.882499999999993],[6.882499999999993],it needed 10 to survive,177.2511,177.7458,0,0,0,0,1,N,Y,S,N_Y_S.png,training,1,1,10,high,,R1,I1,R2,4,10_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-12-16_13h37.57.101,explain2,2025.1.1,Win32,64.1025641,66b504cd131c63b36b682b8d,69419aa62c0b48dee54bf6ac,6941b4f981845c535b50eb81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.7474,184.4601,1,[3.7271999999880734],[3.7271999999880734],it needed less to survive,184.4602,184.9579,0,1,1,1,1,N,B,C,N_B_C.png,training,1,2,7,medium,,R1,I2,L2,4,7_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-12-16_13h37.57.101,explain2,2025.1.1,Win32,64.1025641,66b504cd131c63b36b682b8d,69419aa62c0b48dee54bf6ac,6941b4f981845c535b50eb81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.9595,191.027,1,[3.0777000000476846],[3.0777000000476846],that's about average,191.0271,191.5131,0,2,2,2,1,N,B,S,N_B_S.png,training,1,3,6,high,,R1,I2,R2,4,6_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-12-16_13h37.57.101,explain2,2025.1.1,Win32,64.1025641,66b504cd131c63b36b682b8d,69419aa62c0b48dee54bf6ac,6941b4f981845c535b50eb81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.5149,195.1754,1,[0.6612999999523197],[0.6612999999523197],not sure,195.1755,195.6806,0,3,3,3,1,T,B,C,T_B_C.png,training,1,4,3,low,,L1,I2,L2,4,3_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-12-16_13h37.57.101,explain2,2025.1.1,Win32,64.1025641,66b504cd131c63b36b682b8d,69419aa62c0b48dee54bf6ac,6941b4f981845c535b50eb81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.6818,202.9717,1,[4.310900000035758],[4.310900000035758],that's about average,202.9717,203.4775,0,4,4,4,1,T,Y,S,T_Y_S.png,training,1,5,7,medium,,L1,I1,R2,4,7_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-12-16_13h37.57.101,explain2,2025.1.1,Win32,64.1025641,66b504cd131c63b36b682b8d,69419aa62c0b48dee54bf6ac,6941b4f981845c535b50eb81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.4788,231.3248,1,[24.86460000002384],[24.86460000002384],not sure,231.3249,231.8273,0,5,5,5,1,T,Y,C,T_Y_C.png,training,1,6,4,low,,L1,I1,L2,4,4_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-12-16_13h37.57.101,explain2,2025.1.1,Win32,64.1025641,66b504cd131c63b36b682b8d,69419aa62c0b48dee54bf6ac,6941b4f981845c535b50eb81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.8287,241.374,1,[6.5610000000000355],[6.5610000000000355],that's normal for yellow?,241.3741,241.8656,0,6,6,6,1,N,Y,C,N_Y_C.png,training,1,7,4,medium,,R1,I1,L2,4,4_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-12-16_13h37.57.101,explain2,2025.1.1,Win32,64.1025641,66b504cd131c63b36b682b8d,69419aa62c0b48dee54bf6ac,6941b4f981845c535b50eb81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.867,251.2438,1,[6.395199999988108],[6.395199999988108],it needed less,251.244,251.7363,0,7,7,7,1,T,B,S,T_B_S.png,training,1,8,5,medium,,L1,I2,R2,4,5_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-12-16_13h37.57.101,explain2,2025.1.1,Win32,64.1025641,66b504cd131c63b36b682b8d,69419aa62c0b48dee54bf6ac,6941b4f981845c535b50eb81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.7374,260.5889,1,[5.870899999976132],[5.870899999976132],it needed way less,260.589,261.0727,0,8,8,8,1,T,B,C,T_B_C.png,training,2,9,2,low,,L1,I2,L2,4,2_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-12-16_13h37.57.101,explain2,2025.1.1,Win32,64.1025641,66b504cd131c63b36b682b8d,69419aa62c0b48dee54bf6ac,6941b4f981845c535b50eb81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.0739,269.4696,1,[5.405500000000018],[5.405500000000018],about average,269.4696,269.9477,0,9,9,9,1,N,B,C,N_B_C.png,training,2,10,5,medium,,R1,I2,L2,4,5_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
