consent_survey.block_1/consentChoice,participant,date,expName,psychopyVersion,OS,frameRate,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,participant_id,food_image_file,images_list,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,final_questions_color.started,final_questions_color.stopped,color_continuous_slider.response,color_continuous_slider.rt,color_discrete_slider.response,color_discrete_slider.rt,color_direction_slider.response,color_direction_slider.rt,button_color.numClicks,button_color.timesOn,button_color.timesOff,final_questions_tail_2.started,final_questions_tail_2.stopped,tail_continuous_slider.response,tail_continuous_slider.rt,tail_discrete_slider.response,tail_discrete_slider.rt,tail_direction_slider.response,tail_direction_slider.rt,button_tail.numClicks,button_tail.timesOn,button_tail.timesOff,final_questions_shape.started,final_questions_shape.stopped,shape_continuous_slider.response,shape_continuous_slider.rt,shape_discrete_slider.response,shape_discrete_slider.rt,shape_direction_slider.response,shape_direction_slider.rt,button_shape.numClicks,button_shape.timesOn,button_shape.timesOff
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,125.181,128.507,1,[0.3340000000000032],[0.3340000000000032],,128.508,129.007,0,17,17,17,1,T,B,S,T_B_S.png,training,3,18,7,high,2,7_food.png,"Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/T_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,129.008,133.021,1,[1.01400000000001],[1.01400000000001],,133.021,133.52,0,18,18,18,1,N,B,C,N_B_C.png,training,3,19,4,low,2,4_food.png,"Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/T_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,133.521,136.944,1,[0.4309999999999832],[0.4309999999999832],,136.945,137.443,0,19,19,19,1,N,B,S,N_B_S.png,training,3,20,4,medium,2,4_food.png,"Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/T_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,137.447,140.715,1,[0.27000000000001023],[0.27000000000001023],,140.715,141.214,0,20,20,20,1,T,Y,C,T_Y_C.png,training,3,21,5,medium,2,5_food.png,"Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/T_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,141.215,144.826,1,[0.61099999999999],[0.61099999999999],,144.826,145.325,0,21,21,21,1,T,B,C,T_B_C.png,training,3,22,6,medium,2,6_food.png,"Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/T_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,145.327,148.993,1,[0.6670000000000016],[0.6670000000000016],,148.993,149.491,0,22,22,22,1,T,Y,S,T_Y_S.png,training,3,23,7,high,2,7_food.png,"Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/T_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,149.493,152.798,1,[0.3129999999999882],[0.3129999999999882],,152.798,153.297,0,23,23,23,1,N,Y,C,N_Y_C.png,training,3,24,1,low,2,1_food.png,"Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/T_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.297,158.29,1,[2],[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,B,C,N_B_C.png,training,1,1,3,low,2,3_food.png,"Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/T_Y_S.png",,,,,,158.297,243.481,"[9,6,7,4,9,7,5,6]",1,[0.4509999999999934],[0.4509999999999934],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.481,251.613,5,7.751,Yes,5.407,Blue,6.863,1,[2.730000000000018],[2.730000000000018],,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.613,256.265,4,3.252,Yes,1.432,Having no tail,2.356,1,[3.22199999999998],[3.22199999999998],,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.266,261.987,4,2.487,Yes,1.163,Circular,1.8,1,[4.563000000000045],[4.563000000000045]
