consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,126,2026-03-19_22h02.19.652,explain2,2025.1.1,Win32,59.88023952,699f277cf14210e6de23fe23,69bc308a35b0913edb0419e2,69bca9abec9f86a223166e66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-03-19_22h02.19.652,explain2,2025.1.1,Win32,59.88023952,699f277cf14210e6de23fe23,69bc308a35b0913edb0419e2,69bca9abec9f86a223166e66,9.5421,9.5423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-03-19_22h02.19.652,explain2,2025.1.1,Win32,59.88023952,699f277cf14210e6de23fe23,69bc308a35b0913edb0419e2,69bca9abec9f86a223166e66,,,9.5428,1042.5791,1,[1030.065800000012],[1030.065800000012],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-03-19_22h02.19.652,explain2,2025.1.1,Win32,59.88023952,699f277cf14210e6de23fe23,69bc308a35b0913edb0419e2,69bca9abec9f86a223166e66,,,,,,,,1042.5795,1063.8479,1,[19.514300000011872],[19.514300000011872],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-03-19_22h02.19.652,explain2,2025.1.1,Win32,59.88023952,699f277cf14210e6de23fe23,69bc308a35b0913edb0419e2,69bca9abec9f86a223166e66,,,,,,,,,,,,,1063.8483,1074.3192,1,[7.490899999976136],[7.490899999976136],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-03-19_22h02.19.652,explain2,2025.1.1,Win32,59.88023952,699f277cf14210e6de23fe23,69bc308a35b0913edb0419e2,69bca9abec9f86a223166e66,,,,,,,,,,,,,,,,,,1074.3193,1087.3501,1,[10.054200000047786],[10.054200000047786],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-03-19_22h02.19.652,explain2,2025.1.1,Win32,59.88023952,699f277cf14210e6de23fe23,69bc308a35b0913edb0419e2,69bca9abec9f86a223166e66,,,,,,,,,,,,,,,,,,,,,,,1087.3569,1108.4059,1,[18.059900000035896],[18.059900000035896],just reached maturity age,1108.4061,1109.388,0,0,0,0,1,C,Y,Y_C.png,training,1,1,6,low,color,feet,G,Y,C,F,126,6_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-03-19_22h02.19.652,explain2,2025.1.1,Win32,59.88023952,699f277cf14210e6de23fe23,69bc308a35b0913edb0419e2,69bca9abec9f86a223166e66,,,,,,,,,,,,,,,,,,,,,,,1109.3895,1128.5383,1,[16.171899999976176],[16.171899999976176],has reached maturity age with one cycle down,1128.5384,1129.5218,0,1,1,1,1,F,G,G_F.png,training,1,2,8,high,color,feet,G,Y,C,F,126,8_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-03-19_22h02.19.652,explain2,2025.1.1,Win32,59.88023952,699f277cf14210e6de23fe23,69bc308a35b0913edb0419e2,69bca9abec9f86a223166e66,,,,,,,,,,,,,,,,,,,,,,,1129.5244,1186.7467,1,[54.227399999976114],[54.227399999976114],she has reached maturity age,1186.7467,1187.7402,0,2,2,2,1,C,G,G_C.png,training,1,3,6,high,color,feet,G,Y,C,F,126,6_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-03-19_22h02.19.652,explain2,2025.1.1,Win32,59.88023952,699f277cf14210e6de23fe23,69bc308a35b0913edb0419e2,69bca9abec9f86a223166e66,,,,,,,,,,,,,,,,,,,,,,,1187.7415,1206.2466,1,[15.512599999964323],[15.512599999964323],is mid way into maturing,1206.2467,1207.2433,0,3,3,3,1,F,Y,Y_F.png,training,1,4,5,low,color,feet,G,Y,C,F,126,5_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-03-19_22h02.19.652,explain2,2025.1.1,Win32,59.88023952,699f277cf14210e6de23fe23,69bc308a35b0913edb0419e2,69bca9abec9f86a223166e66,,,,,,,,,,,,,,,,,,,,,,,1207.2446,1223.533,1,[13.305499999999938],[13.305499999999938],either too old or too young ,1223.533,1224.5096,0,4,4,4,1,F,Y,Y_F.png,training,2,5,3,low,color,feet,G,Y,C,F,126,3_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,2026-03-19_22h02.19.652,explain2,2025.1.1,Win32,59.88023952,699f277cf14210e6de23fe23,69bc308a35b0913edb0419e2,69bca9abec9f86a223166e66,,,,,,,,,,,,,,,,,,,,,,,1224.5107,1251.2485,1,[23.758499999999913],[23.758499999999913],peaked  maturity age and is ovulating,1251.2486,1252.2292,0,5,5,5,1,C,G,G_C.png,training,2,6,10,high,color,feet,G,Y,C,F,126,10_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
