consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,360.4264,377.5753,1,[14.150200000047732],[14.150200000047732],Not the lowest but still not the most fertile reptile in the group.,377.5755,378.5744,0,4,4,4,1,C,Y,Y_C.png,training,2,5,2,low,color,feet,G,Y,C,F,42,2_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,378.5764,479.53,1,[97.95390000009525],[97.95390000009525],this reptile is at good standing at being fertile but also but still not the top rating.,479.5301,480.5286,0,5,5,5,1,F,G,G_F.png,training,2,6,6,high,color,feet,G,Y,C,F,42,6_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,480.5306,502.831,1,[19.301500000000033],[19.301600000143026],this reptile in the study was as a high ranking compared to the other reptiles.,502.8312,503.8297,0,6,6,6,1,C,G,G_C.png,training,2,7,7,high,color,feet,G,Y,C,F,42,7_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,503.8311,576.3182,1,[69.48700000000008],[69.48720000004766],this reptile is in between from high fertility and low.,576.3183,577.3167,0,7,7,7,1,F,Y,Y_F.png,training,2,8,5,low,color,feet,G,Y,C,F,42,5_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,577.3189,589.8512,1,[9.534100000142985],[9.534100000142985],has low fertility.,589.8514,590.8507,0,8,8,8,1,F,Y,Y_F.png,training,3,9,2,low,color,feet,G,Y,C,F,42,2_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,590.8539,608.4186,1,[14.56680000019071],[14.56680000019071],This reptile has the higest score because it's the most fertile.,608.4188,609.4181,0,9,9,9,1,C,G,G_C.png,training,3,10,10,high,color,feet,G,Y,C,F,42,10_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,609.4203,624.9358,1,[12.517400000095336],[12.517400000095336],The lowest score because this reptile is the lowest fertile.,624.9359,625.9352,0,10,10,10,1,C,Y,Y_C.png,training,3,11,1,low,color,feet,G,Y,C,F,42,1_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,625.9377,659.8048,1,[30.86840000009545],[30.86840000009545],it has a low ranking fertility in the group of reptiles but not the lowest.,659.805,660.8034,0,11,11,11,1,F,G,G_F.png,training,3,12,4,high,color,feet,G,Y,C,F,42,4_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,660.8054,673.8889,1,[10.083999999999946],[10.083999999999946],a very high fertility in the group of reptiles.,673.8893,674.8875,0,12,12,12,1,C,G,G_C.png,training,4,13,9,high,color,feet,G,Y,C,F,42,9_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,674.889,682.9886,1,[5.10019999980932],[5.10019999980932],A very low egg count.,682.9888,683.9877,0,13,13,13,1,C,Y,Y_C.png,training,4,14,2,low,color,feet,G,Y,C,F,42,2_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,683.9896,696.3391,1,[9.3507999999523],[9.3507999999523],A high egg count compared to the other reptiles.,696.3393,697.3389,0,14,14,14,1,F,G,G_F.png,training,4,15,8,high,color,feet,G,Y,C,F,42,8_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,697.342,733.8749,1,[33.53490000009538],[33.53490000009538],a low egg count compared to the other reptiles.,733.875,734.8731,0,15,15,15,1,F,Y,Y_F.png,training,4,16,3,low,color,feet,G,Y,C,F,42,3_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.8736,741.3906,1,[3.532899999856909],[3.532899999856909],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Y,Y_F.png,training,1,1,1,low,color,feet,G,Y,C,F,42,1_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,741.4059,759.6919,"[8,4,5,7]",1,[0.6664000000953365],[0.6664000000953365],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.6968,772.0762,,,No,11.1415,,,1,[1.2503999998569952],[1.2503999998569952],0,0,0,0,1,color,"Reptiles varied in whether they were GREEN or RED. Did being GREEN or RED make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did color matter to the fertility of reptiles?,"Green, Red",RedvGreen.png,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.0829,779.5586,,,No,6.4854,,,1,[0.9997000000477101],[0.9997000000477101],0,1,1,1,1,feet,"Reptiles varied in whether they had ROUND feet or POINTY, CURLY feet. Did having CURLY/POINTY or ROUND feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Curly/Pointy, Round",RoundvCurly.png,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.5591,785.4087,0,[],[],0,[],[],1,[3.8500000000000227],[3.8500000000000227],0,[],[],,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785.4089,799.327,,1,[12.933099999904698],[12.933099999904698],
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
