consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,055,2026-03-20_15h14.47.742,explain2,2025.1.1,Win32,144.9275362,5d3695969749cc00165c222f,69bd41b9228fa8ec2e37e683,69bdaa8a439ad002fd2d32fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,055,2026-03-20_15h14.47.742,explain2,2025.1.1,Win32,144.9275362,5d3695969749cc00165c222f,69bd41b9228fa8ec2e37e683,69bdaa8a439ad002fd2d32fa,3.6309,3.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,055,2026-03-20_15h14.47.742,explain2,2025.1.1,Win32,144.9275362,5d3695969749cc00165c222f,69bd41b9228fa8ec2e37e683,69bdaa8a439ad002fd2d32fa,,,3.6312,10.6807,1,[4.0565],[4.0565],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,055,2026-03-20_15h14.47.742,explain2,2025.1.1,Win32,144.9275362,5d3695969749cc00165c222f,69bd41b9228fa8ec2e37e683,69bdaa8a439ad002fd2d32fa,,,,,,,,10.6808,367.6633,1,[353.9892999999523],[353.9892999999523],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,055,2026-03-20_15h14.47.742,explain2,2025.1.1,Win32,144.9275362,5d3695969749cc00165c222f,69bd41b9228fa8ec2e37e683,69bdaa8a439ad002fd2d32fa,,,,,,,,,,,,,367.6635,555.7657,1,[185.10789999997627],[185.10789999997627],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,055,2026-03-20_15h14.47.742,explain2,2025.1.1,Win32,144.9275362,5d3695969749cc00165c222f,69bd41b9228fa8ec2e37e683,69bdaa8a439ad002fd2d32fa,,,,,,,,,,,,,,,,,,555.766,578.2484,1,[19.48249999999996],[19.48249999999996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,055,2026-03-20_15h14.47.742,explain2,2025.1.1,Win32,144.9275362,5d3695969749cc00165c222f,69bd41b9228fa8ec2e37e683,69bdaa8a439ad002fd2d32fa,,,,,,,,,,,,,,,,,,,,,,,578.2517,590.6954,1,[9.446100000023876],[9.446100000023876],It looks red and that might explain the difference,590.6955,591.695,0,0,0,0,1,F,Y,Y_F.png,training,1,1,5,high,feet,color,F,C,G,Y,55,5_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,055,2026-03-20_15h14.47.742,explain2,2025.1.1,Win32,144.9275362,5d3695969749cc00165c222f,69bd41b9228fa8ec2e37e683,69bdaa8a439ad002fd2d32fa,,,,,,,,,,,,,,,,,,,,,,,591.6959,600.0092,1,[5.320399999976189],[5.320399999976189],The claws are a tad sharper,600.0093,601.009,0,1,1,1,1,C,Y,Y_C.png,training,1,2,4,low,feet,color,F,C,G,Y,55,4_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,055,2026-03-20_15h14.47.742,explain2,2025.1.1,Win32,144.9275362,5d3695969749cc00165c222f,69bd41b9228fa8ec2e37e683,69bdaa8a439ad002fd2d32fa,,,,,,,,,,,,,,,,,,,,,,,601.01,609.5248,1,[5.521800000071494],[5.521800000071494],The lighter green gives it an aura,609.5248,610.5246,0,2,2,2,1,C,G,G_C.png,training,1,3,5,low,feet,color,F,C,G,Y,55,5_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,055,2026-03-20_15h14.47.742,explain2,2025.1.1,Win32,144.9275362,5d3695969749cc00165c222f,69bd41b9228fa8ec2e37e683,69bdaa8a439ad002fd2d32fa,,,,,,,,,,,,,,,,,,,,,,,610.5254,624.048,1,[10.529600000023834],[10.529600000023834],The softer web feet give it a softer feel for mating,624.0481,625.0478,0,3,3,3,1,F,G,G_F.png,training,1,4,9,high,feet,color,F,C,G,Y,55,9_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,055,2026-03-20_15h14.47.742,explain2,2025.1.1,Win32,144.9275362,5d3695969749cc00165c222f,69bd41b9228fa8ec2e37e683,69bdaa8a439ad002fd2d32fa,,,,,,,,,,,,,,,,,,,,,,,625.0487,631.9035,1,[3.861699999928419],[3.861699999928419],Sharp claws and spots make it harder,631.9036,632.9033,0,4,4,4,1,C,Y,Y_C.png,training,2,5,3,low,feet,color,F,C,G,Y,55,3_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,055,2026-03-20_15h14.47.742,explain2,2025.1.1,Win32,144.9275362,5d3695969749cc00165c222f,69bd41b9228fa8ec2e37e683,69bdaa8a439ad002fd2d32fa,,,,,,,,,,,,,,,,,,,,,,,632.9042,642.1761,1,[6.278999999999996],[6.278999999999996],The sharper claws and sparks are a bad pattern,642.1761,643.1759,0,5,5,5,1,C,G,G_C.png,training,2,6,3,low,feet,color,F,C,G,Y,55,3_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,055,2026-03-20_15h14.47.742,explain2,2025.1.1,Win32,144.9275362,5d3695969749cc00165c222f,69bd41b9228fa8ec2e37e683,69bdaa8a439ad002fd2d32fa,,,,,,,,,,,,,,,,,,,,,,,643.1767,656.3521,1,[10.182299999952306],[10.182299999952306],The softer feet give a high score with dotted back taking points,656.3521,657.352,0,6,6,6,1,F,G,G_F.png,training,2,7,7,high,feet,color,F,C,G,Y,55,7_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,055,2026-03-20_15h14.47.742,explain2,2025.1.1,Win32,144.9275362,5d3695969749cc00165c222f,69bd41b9228fa8ec2e37e683,69bdaa8a439ad002fd2d32fa,,,,,,,,,,,,,,,,,,,,,,,657.3527,669.2639,1,[8.918199999928447],[8.918199999928447],The softer feet and red back give it the best possible score,669.264,670.2638,0,7,7,7,1,F,Y,Y_F.png,training,2,8,10,high,feet,color,F,C,G,Y,55,10_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
