consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,132.7574,145.456,1,[9.700299999997014],[9.700299999997014],They had a higher number of eggs to survive,145.4563,146.4541,0,4,4,4,1,F,Y,Y_F.png,training,2,5,7,high,feet,color,F,C,Y,G,139,7_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,146.4575,160.0731,1,[10.616800000004474],[10.616800000004474],They had a great deal of their offspring to survive,160.0735,161.0706,0,5,5,5,1,F,G,G_F.png,training,2,6,10,high,feet,color,F,C,Y,G,139,10_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,161.0734,172.0723,1,[8],[8],They only had a few eggs to survive,172.0725,173.0706,0,6,6,6,1,C,Y,Y_C.png,training,2,7,3,low,feet,color,F,C,Y,G,139,3_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,173.0738,190.0559,1,[13.983699999995537],[13.983699999995537],They didn't have many offspring to survive,190.0561,191.0539,0,7,7,7,1,C,G,G_C.png,training,2,8,1,low,feet,color,F,C,Y,G,139,1_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,191.0574,205.0059,1,[10.95020000000298],[10.95020000000298],They did not have many eggs to survive,205.0061,206.0042,0,8,8,8,1,C,G,G_C.png,training,3,9,1,low,feet,color,F,C,Y,G,139,1_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,206.0077,216.6925,1,[7.688100000001498],[7.688100000001498],They had a high number of eggs to survive,216.6926,217.6872,0,9,9,9,1,F,Y,Y_F.png,training,3,10,9,high,feet,color,F,C,Y,G,139,9_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,217.6909,230.3052,1,[9.62710000000152],[9.62710000000152],They had a medium number of eggs to survive,230.3053,231.3082,0,10,10,10,1,C,Y,Y_C.png,training,3,11,6,low,feet,color,F,C,Y,G,139,6_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,231.3098,245.8057,1,[11.500499999999988],[11.500499999999988],They had a mid level number off eggs survive,245.806,246.8041,0,11,11,11,1,F,G,G_F.png,training,3,12,5,high,feet,color,F,C,Y,G,139,5_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,246.8075,262.4208,1,[12.616099999994049],[12.616099999994049],They had more than half of their eggs to survive,262.4209,263.4205,0,12,12,12,1,F,G,G_F.png,training,4,13,6,high,feet,color,F,C,Y,G,139,6_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,263.4239,277.3724,1,[10.966700000003016],[10.966700000003016],They had a middle amount of eggs survive,277.3726,278.3714,0,13,13,13,1,C,G,G_C.png,training,4,14,5,low,feet,color,F,C,Y,G,139,5_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,278.3743,290.7391,1,[9.366799999997],[9.366799999997],They had a higher number of eggs survive,290.7393,291.7371,0,14,14,14,1,F,Y,Y_F.png,training,4,15,6,high,feet,color,F,C,Y,G,139,6_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,291.74,302.0222,1,[7.283500000000004],[7.283500000000004],They barely had any eggs survive,302.0225,303.0207,0,15,15,15,1,C,Y,Y_C.png,training,4,16,1,low,feet,color,F,C,Y,G,139,1_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.0217,307.4045,1,[1.3835000000000264],[1.3835000000000264],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Y,Y_F.png,training,1,1,9,high,feet,color,F,C,Y,G,139,9_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low",,,,,,307.4285,317.6377,"[9,3,5,7]",1,[1.0331999999955315],[1.0331999999955315],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.6429,327.226,,,No,8.6734,,,1,[0.9162000000029593],[0.9162000000029593],0,0,0,0,1,color,"Reptiles varied in whether they were GREEN or RED. Did being GREEN or RED make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did color matter to the fertility of reptiles?,"Green, Red",RedvGreen.png,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.2336,331.9706,,,No,3.2107,,,1,[1.5335000000000036],[1.5335000000000036],0,1,1,1,1,feet,"Reptiles varied in whether they had ROUND feet or POINTY, CURLY feet. Did having CURLY/POINTY or ROUND feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Curly/Pointy, Round",RoundvCurly.png,,,,,,,,,,,,,,,,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.9715,336.6047,0,[],[],0,[],[],1,[2.633700000002989],[2.633700000002989],0,[],[],,,,,,,
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.6053,380.8935,It seems the instructions were a bit different than what I was actually doing.,1,[43.2885],[43.2885],
,139,2026-03-19_22h00.29.002,explain2,2025.1.1,Win32,59.88023952,5798e5674a84da00014c652b,69bc308a35b0913edb0419e2,69bca9fb416ab619a8a8b406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
