consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,132,2026-03-19_20h40.33.573,explain2,2025.1.1,Win32,59.88023952,658e4000dd1140be88c9625a,69bc308a35b0913edb0419e2,69bcc0e3158af1d48caa9bc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,2026-03-19_20h40.33.573,explain2,2025.1.1,Win32,59.88023952,658e4000dd1140be88c9625a,69bc308a35b0913edb0419e2,69bcc0e3158af1d48caa9bc3,5.9843,5.9843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,2026-03-19_20h40.33.573,explain2,2025.1.1,Win32,59.88023952,658e4000dd1140be88c9625a,69bc308a35b0913edb0419e2,69bcc0e3158af1d48caa9bc3,,,5.9845,198.7823,1,[192.1168999999985],[192.1168999999985],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,2026-03-19_20h40.33.573,explain2,2025.1.1,Win32,59.88023952,658e4000dd1140be88c9625a,69bc308a35b0913edb0419e2,69bcc0e3158af1d48caa9bc3,,,,,,,,198.7825,210.0083,1,[8.22830000000073],[8.22830000000073],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,2026-03-19_20h40.33.573,explain2,2025.1.1,Win32,59.88023952,658e4000dd1140be88c9625a,69bc308a35b0913edb0419e2,69bcc0e3158af1d48caa9bc3,,,,,,,,,,,,,210.0085,220.8183,1,[7.811500000000024],[7.811500000000024],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,2026-03-19_20h40.33.573,explain2,2025.1.1,Win32,59.88023952,658e4000dd1140be88c9625a,69bc308a35b0913edb0419e2,69bcc0e3158af1d48caa9bc3,,,,,,,,,,,,,,,,,,220.8185,229.7462,1,[5.929399999998509],[5.929399999998509],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,2026-03-19_20h40.33.573,explain2,2025.1.1,Win32,59.88023952,658e4000dd1140be88c9625a,69bc308a35b0913edb0419e2,69bcc0e3158af1d48caa9bc3,,,,,,,,,,,,,,,,,,,,,,,229.7504,286.9787,1,[54.23389999999853],[54.23389999999853],This reptile has good claws for digging holes that are deep enough to keep their eggs protected from predators.,286.9788,287.9783,0,0,0,0,1,C,Y,Y_C.png,training,1,1,8,high,color,feet,Y,G,C,F,132,8_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,2026-03-19_20h40.33.573,explain2,2025.1.1,Win32,59.88023952,658e4000dd1140be88c9625a,69bc308a35b0913edb0419e2,69bcc0e3158af1d48caa9bc3,,,,,,,,,,,,,,,,,,,,,,,287.9795,338.8972,1,[47.92119999999926],[47.92119999999926],"This reptile doesn't have claws; it is much harder for it to dig deep holes in the ground. Because its holes are shallow, predators are more likely to eat the eggs.",338.8972,339.8962,0,1,1,1,1,F,G,G_F.png,training,1,2,4,low,color,feet,Y,G,C,F,132,4_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,2026-03-19_20h40.33.573,explain2,2025.1.1,Win32,59.88023952,658e4000dd1140be88c9625a,69bc308a35b0913edb0419e2,69bcc0e3158af1d48caa9bc3,,,,,,,,,,,,,,,,,,,,,,,339.8977,377.2736,1,[34.37930000000085],[34.37930000000085],"This reptile is red, and red reptiles produce healthier offspring than other colored reptiles.",377.2736,378.273,0,2,2,2,1,F,Y,Y_F.png,training,1,3,7,high,color,feet,Y,G,C,F,132,7_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,2026-03-19_20h40.33.573,explain2,2025.1.1,Win32,59.88023952,658e4000dd1140be88c9625a,69bc308a35b0913edb0419e2,69bcc0e3158af1d48caa9bc3,,,,,,,,,,,,,,,,,,,,,,,378.2746,416.8992,1,[35.62819999999931],[35.62819999999931],"This reptile is green, and green reptiles have offspring with fragile health.",416.8994,417.8988,0,3,3,3,1,C,G,G_C.png,training,1,4,1,low,color,feet,Y,G,C,F,132,1_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
