consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,043,2026-03-20_16h12.37.714,explain2,2025.1.1,Win32,59.95203837,6994ba324907f041e5c966ae,69bd41b9228fa8ec2e37e683,69bdaa0c4db779a4c5a9d4c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,043,2026-03-20_16h12.37.714,explain2,2025.1.1,Win32,59.95203837,6994ba324907f041e5c966ae,69bd41b9228fa8ec2e37e683,69bdaa0c4db779a4c5a9d4c0,7.763,7.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,043,2026-03-20_16h12.37.714,explain2,2025.1.1,Win32,59.95203837,6994ba324907f041e5c966ae,69bd41b9228fa8ec2e37e683,69bdaa0c4db779a4c5a9d4c0,,,7.763,14.502,1,[3.75],[3.75],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,043,2026-03-20_16h12.37.714,explain2,2025.1.1,Win32,59.95203837,6994ba324907f041e5c966ae,69bd41b9228fa8ec2e37e683,69bdaa0c4db779a4c5a9d4c0,,,,,,,,14.502,26.135,1,[8.634],[8.634],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,043,2026-03-20_16h12.37.714,explain2,2025.1.1,Win32,59.95203837,6994ba324907f041e5c966ae,69bd41b9228fa8ec2e37e683,69bdaa0c4db779a4c5a9d4c0,,,,,,,,,,,,,26.135,36.401,1,[7.283000000000001],[7.283000000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,043,2026-03-20_16h12.37.714,explain2,2025.1.1,Win32,59.95203837,6994ba324907f041e5c966ae,69bd41b9228fa8ec2e37e683,69bdaa0c4db779a4c5a9d4c0,,,,,,,,,,,,,,,,,,36.401,45.319,1,[5.935000000000002],[5.935000000000002],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,043,2026-03-20_16h12.37.714,explain2,2025.1.1,Win32,59.95203837,6994ba324907f041e5c966ae,69bd41b9228fa8ec2e37e683,69bdaa0c4db779a4c5a9d4c0,,,,,,,,,,,,,,,,,,,,,,,45.323,91.052,1,[42.733999999999995],[42.733999999999995],"This reptile is on a branch and not on the forest floor, this helps avoid predators.",91.053,92.051,0,0,0,0,1,F,G,G_F.png,training,1,1,4,high,feet,color,F,C,G,Y,43,4_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,043,2026-03-20_16h12.37.714,explain2,2025.1.1,Win32,59.95203837,6994ba324907f041e5c966ae,69bd41b9228fa8ec2e37e683,69bdaa0c4db779a4c5a9d4c0,,,,,,,,,,,,,,,,,,,,,,,92.054,136.418,1,[41.36699999999999],[41.36699999999999],This reptile has bright red skin making it stand out against the green of the forest around it.,136.419,137.417,0,1,1,1,1,C,Y,Y_C.png,training,1,2,2,low,feet,color,F,C,G,Y,43,2_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,043,2026-03-20_16h12.37.714,explain2,2025.1.1,Win32,59.95203837,6994ba324907f041e5c966ae,69bd41b9228fa8ec2e37e683,69bdaa0c4db779a4c5a9d4c0,,,,,,,,,,,,,,,,,,,,,,,137.421,187.635,1,[47.216999999999985],[47.216999999999985],This reptile has a poisonous liquid that covers itself and taste bad to predators that try to bite it. The bright color warns others of this.,187.635,188.634,0,2,2,2,1,F,Y,Y_F.png,training,1,3,7,high,feet,color,F,C,G,Y,43,7_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,043,2026-03-20_16h12.37.714,explain2,2025.1.1,Win32,59.95203837,6994ba324907f041e5c966ae,69bd41b9228fa8ec2e37e683,69bdaa0c4db779a4c5a9d4c0,,,,,,,,,,,,,,,,,,,,,,,188.637,221.251,1,[29.617000000000047],[29.617000000000047],This reptile blends into it's surrounding ok but has no defensive mechanisms. ,221.251,222.251,0,3,3,3,1,C,G,G_C.png,training,1,4,4,low,feet,color,F,C,G,Y,43,4_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
