consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,030,2026-03-19_21h45.51.882,explain2,2025.1.1,Linux armv81,120.4819277,69bb15dca00a39ce2b51b4e7,69bc308a35b0913edb0419e2,69bca64ffbc49b2b7aeee6f0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-03-19_21h45.51.882,explain2,2025.1.1,Linux armv81,120.4819277,69bb15dca00a39ce2b51b4e7,69bc308a35b0913edb0419e2,69bca64ffbc49b2b7aeee6f0,20.0294,20.0295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-03-19_21h45.51.882,explain2,2025.1.1,Linux armv81,120.4819277,69bb15dca00a39ce2b51b4e7,69bc308a35b0913edb0419e2,69bca64ffbc49b2b7aeee6f0,,,20.0302,69.322,1,[46.29899999999999],[46.29910000002384],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-03-19_21h45.51.882,explain2,2025.1.1,Linux armv81,120.4819277,69bb15dca00a39ce2b51b4e7,69bc308a35b0913edb0419e2,69bca64ffbc49b2b7aeee6f0,,,,,,,,69.3226,90.772,1,[18.45189999997615],[18.45189999997615],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-03-19_21h45.51.882,explain2,2025.1.1,Linux armv81,120.4819277,69bb15dca00a39ce2b51b4e7,69bc308a35b0913edb0419e2,69bca64ffbc49b2b7aeee6f0,,,,,,,,,,,,,90.7725,112.7506,1,[18.98380000001191],[18.98380000001191],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-03-19_21h45.51.882,explain2,2025.1.1,Linux armv81,120.4819277,69bb15dca00a39ce2b51b4e7,69bc308a35b0913edb0419e2,69bca64ffbc49b2b7aeee6f0,,,,,,,,,,,,,,,,,,112.7512,125.3812,1,[9.6333000000119],[9.633399999976149],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-03-19_21h45.51.882,explain2,2025.1.1,Linux armv81,120.4819277,69bb15dca00a39ce2b51b4e7,69bc308a35b0913edb0419e2,69bca64ffbc49b2b7aeee6f0,,,,,,,,,,,,,,,,,,,,,,,125.3921,157.3805,1,[29.00189999997616],[29.00189999997616],The reptile hade 9 viable eggs,157.3809,158.3744,0,0,0,0,1,C,G,G_C.png,training,1,1,9,high,color,feet,G,Y,C,F,30,9_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-03-19_21h45.51.882,explain2,2025.1.1,Linux armv81,120.4819277,69bb15dca00a39ce2b51b4e7,69bc308a35b0913edb0419e2,69bca64ffbc49b2b7aeee6f0,,,,,,,,,,,,,,,,,,,,,,,158.3805,176.3081,1,[14.942199999988077],[14.942199999988077],The reptile only had 3 viable eggs,176.3082,177.3064,0,1,1,1,1,F,Y,Y_F.png,training,1,2,3,low,color,feet,G,Y,C,F,30,3_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-03-19_21h45.51.882,explain2,2025.1.1,Linux armv81,120.4819277,69bb15dca00a39ce2b51b4e7,69bc308a35b0913edb0419e2,69bca64ffbc49b2b7aeee6f0,,,,,,,,,,,,,,,,,,,,,,,177.3118,191.1628,1,[10.854699999988043],[10.854699999988043],The reptile had 10 viable eggs,191.1631,192.16,0,2,2,2,1,F,G,G_F.png,training,1,3,10,high,color,feet,G,Y,C,F,30,10_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-03-19_21h45.51.882,explain2,2025.1.1,Linux armv81,120.4819277,69bb15dca00a39ce2b51b4e7,69bc308a35b0913edb0419e2,69bca64ffbc49b2b7aeee6f0,,,,,,,,,,,,,,,,,,,,,,,192.1655,210.0108,1,[14.851600000023836],[14.851600000023836],The reptile had 3 viable eggs,210.0109,211.0013,0,3,3,3,1,C,Y,Y_C.png,training,1,4,3,low,color,feet,G,Y,C,F,30,3_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-03-19_21h45.51.882,explain2,2025.1.1,Linux armv81,120.4819277,69bb15dca00a39ce2b51b4e7,69bc308a35b0913edb0419e2,69bca64ffbc49b2b7aeee6f0,,,,,,,,,,,,,,,,,,,,,,,211.0065,264.8203,1,[50.82670000004765],[50.82670000004765],The reptile had 1 viable egg and maybe not in the right habitat. It's hands are different.,264.8205,265.8157,0,4,4,4,1,F,Y,Y_F.png,training,2,5,1,low,color,feet,G,Y,C,F,30,1_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
