consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,220.7075,237.1573,1,[13.450599999964197],[13.450599999964197],Its orange color is unattractive.,237.1587,238.154,0,4,4,4,1,F,Y,Y_F.png,training,2,5,5,low,feet,color,C,F,Y,G,93,5_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,238.1583,248.9884,1,[7.833200000047725],[7.833200000047725],Its spots are attractive.,248.9892,249.9876,0,5,5,5,1,C,Y,Y_C.png,training,2,6,6,high,feet,color,C,F,Y,G,93,6_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,249.9914,259.6242,1,[6.634599999964223],[6.634599999964223],Its green color is unattractive.,259.6248,260.6212,0,6,6,6,1,C,G,G_C.png,training,2,7,5,high,feet,color,C,F,Y,G,93,5_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,260.6263,271.6059,1,[7.982599999964236],[7.982599999964236],Its green color is unattractive.,271.6066,272.6038,0,7,7,7,1,F,G,G_F.png,training,2,8,3,low,feet,color,C,F,Y,G,93,3_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,272.6075,284.9908,1,[9.384600000023852],[9.384600000023852],Its spots on its back are attractive.,284.9919,285.9876,0,8,8,8,1,F,Y,Y_F.png,training,3,9,6,low,feet,color,C,F,Y,G,93,6_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,285.993,336.1142,1,[47.12560000002384],[47.12560000002384],"Its spots on its back are attractive. Its feet are attractive, having a single, uniform color.",336.115,337.1046,0,9,9,9,1,C,Y,Y_C.png,training,3,10,10,high,feet,color,C,F,Y,G,93,10_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,337.1097,350.3477,1,[10.242400000035786],[10.242400000035786],Its green color is unattractive.,350.3483,351.3381,0,10,10,10,1,C,G,G_C.png,training,3,11,5,high,feet,color,C,F,Y,G,93,5_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,351.3429,393.0415,1,[38.7005999999642],[38.7005999999642],"Its green color is unattractive. Its feet are unattractive since they are rounded, making them less effective at certain tasks.",393.042,394.0376,0,11,11,11,1,F,G,G_F.png,training,3,12,5,low,feet,color,C,F,Y,G,93,5_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,394.0408,435.4258,1,[38.402499999999975],[38.402499999999975],Its feet are unattractive because they have white spots and have rounded toes. The rounded toes make their feet less effective at certain tasks.,435.4267,436.4215,0,12,12,12,1,F,Y,Y_F.png,training,4,13,1,low,feet,color,C,F,Y,G,93,1_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,436.4254,457.4139,1,[18.00730000001181],[18.00730000001181],"Its feet are attractive because they are pointed, making them effective at certain tasks.",457.4144,458.405,0,13,13,13,1,C,G,G_C.png,training,4,14,8,high,feet,color,C,F,Y,G,93,8_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,458.4081,477.3294,1,[15.923300000011977],[15.92360000002384],It has a fat belly. ,477.3301,478.3221,0,14,14,14,1,C,Y,Y_C.png,training,4,15,5,high,feet,color,C,F,Y,G,93,5_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,478.3287,502.6811,1,[21.357800000011935],[21.357800000011935],"It has rounded toes on its feet, which are unattractive because rounded toes are less effective for certain tasks.",502.6818,503.6707,0,15,15,15,1,F,G,G_F.png,training,4,16,4,low,feet,color,C,F,Y,G,93,4_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.6719,510.3798,1,[3.7242000000477447],[3.7242000000477447],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,Y,Y_C.png,training,1,1,10,high,feet,color,C,F,Y,G,93,10_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,510.4133,528.9804,"[5,4,7,8]",1,[2.6091000000238864],[2.6091000000238864],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.9847,540.2392,,,No,10.0787,,,1,[1.1841000000238182],[1.1841000000238182],0,0,0,0,1,color,"Reptiles varied in whether they were GREEN or RED. Did being GREEN or RED make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did color matter to the fertility of reptiles?,"Green, Red",RedvGreen.png,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.2456,573.0559,6,29.5864,Yes,16.4714,0,24.7878,1,[3.2345999999643027],[3.2345999999643027],0,1,1,1,1,feet,"Reptiles varied in whether they had ROUND feet or POINTY, CURLY feet. Did having CURLY/POINTY or ROUND feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Curly/Pointy, Round",RoundvCurly.png,Curly/Pointy,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.057,585.3626,0,[],[],0,[],[],1,[10.306700000047613],[10.306700000047613],0,[],[],,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.363,608.2983,Nothing was unusual or confusing.,1,[21.94139999997617],[21.94139999997617],
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
