consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,006,2026-03-05_18h21.04.309,explain2,2025.1.1,iPad,45.45454545,6978d492c170048b3f3278a4,69a9bda61d47b7a3311bd545,69aa0c2f3c22b7693847c39d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-03-05_18h21.04.309,explain2,2025.1.1,iPad,45.45454545,6978d492c170048b3f3278a4,69a9bda61d47b7a3311bd545,69aa0c2f3c22b7693847c39d,3.532,3.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-03-05_18h21.04.309,explain2,2025.1.1,iPad,45.45454545,6978d492c170048b3f3278a4,69a9bda61d47b7a3311bd545,69aa0c2f3c22b7693847c39d,,,3.534,11.167,1,[4.799000000000001],[4.799000000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-03-05_18h21.04.309,explain2,2025.1.1,iPad,45.45454545,6978d492c170048b3f3278a4,69a9bda61d47b7a3311bd545,69aa0c2f3c22b7693847c39d,,,,,,,,11.167,15.183,1,[1.024000000000001],[1.024000000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-03-05_18h21.04.309,explain2,2025.1.1,iPad,45.45454545,6978d492c170048b3f3278a4,69a9bda61d47b7a3311bd545,69aa0c2f3c22b7693847c39d,,,,,,,,,,,,,15.184,20.405,1,[2.2280000000000015],[2.2280000000000015],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-03-05_18h21.04.309,explain2,2025.1.1,iPad,45.45454545,6978d492c170048b3f3278a4,69a9bda61d47b7a3311bd545,69aa0c2f3c22b7693847c39d,,,,,,,,,,,,,,,,,,20.412,111.666,1,[88.254],[88.254],"The reptile is a green color with a little bit of a pattern on the skin. The green allows it to blend in well, though the spots take away from its camouflage a little bit. So, the reptile has a moderate opportunity to become fertile.",111.667,112.171,0,0,0,0,1,C,G,L,G_C_L.png,training,1,1,6,high,color,feet,G,Y,F,C,6,6_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","high,low,low,low,high,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-03-05_18h21.04.309,explain2,2025.1.1,iPad,45.45454545,6978d492c170048b3f3278a4,69a9bda61d47b7a3311bd545,69aa0c2f3c22b7693847c39d,,,,,,,,,,,,,,,,,,112.177,270.229,1,[155.05800000000005],[155.05800000000005],"The reptile’s bright red color reduces its ability to blend into its environment and makes it more susceptible to becoming prey. If the reptile is caught by prey more often, it loses its ability to become fertile thus decreasing its fertility score.",270.231,270.722,0,1,1,1,1,F,Y,L,Y_F_L.png,training,1,2,1,low,color,feet,G,Y,F,C,6,1_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","high,low,low,low,high,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-03-05_18h21.04.309,explain2,2025.1.1,iPad,45.45454545,6978d492c170048b3f3278a4,69a9bda61d47b7a3311bd545,69aa0c2f3c22b7693847c39d,,,,,,,,,,,,,,,,,,270.732,374.855,1,[101.13],[101.13],The reptile’s bright red color again reduces its survivability and gives it a low opportunity to produce offspring. This causes it to have a low fertility score.,374.856,375.354,0,2,2,2,1,C,Y,D,Y_C_D.png,training,1,3,1,low,color,feet,G,Y,F,C,6,1_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","high,low,low,low,high,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-03-05_18h21.04.309,explain2,2025.1.1,iPad,45.45454545,6978d492c170048b3f3278a4,69a9bda61d47b7a3311bd545,69aa0c2f3c22b7693847c39d,,,,,,,,,,,,,,,,,,375.362,441.181,1,[62.829999999999984],[62.829999999999984],"During their next mating season, these reptiles likely found a better place to hide, thus allowing it to have a low but slightly higher fertility score.",441.182,441.675,0,3,3,3,1,F,Y,D,Y_F_D.png,training,1,4,2,low,color,feet,G,Y,F,C,6,2_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","high,low,low,low,high,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-03-05_18h21.04.309,explain2,2025.1.1,iPad,45.45454545,6978d492c170048b3f3278a4,69a9bda61d47b7a3311bd545,69aa0c2f3c22b7693847c39d,,,,,,,,,,,,,,,,,,441.681,498.172,1,[53.497000000000014],[53.497000000000014],This reptile blends into its habitat well and goes undetected by predators. This allows the reptile to have ample opportunity to mate which results in a higher fertility score.,498.173,498.666,0,4,4,4,1,F,G,L,G_F_L.png,training,1,5,10,high,color,feet,G,Y,F,C,6,10_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","high,low,low,low,high,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2026-03-05_18h21.04.309,explain2,2025.1.1,iPad,45.45454545,6978d492c170048b3f3278a4,69a9bda61d47b7a3311bd545,69aa0c2f3c22b7693847c39d,,,,,,,,,,,,,,,,,,498.67,610.65,1,[108.98299999999995],[108.98299999999995],"This reptile blends into its surroundings well which allows it to go undetected by predators more or less. The score could be lower than expected due to environmental factors among other reasons. Either way, the reptile is still able to mate which produces the higher score presented above.",610.652,611.144,0,5,5,5,1,F,G,D,G_F_D.png,training,1,6,8,high,color,feet,G,Y,F,C,6,8_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","high,low,low,low,high,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
