consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,187.965,202.033,1,[11.07899999999998],[11.07899999999998],Maybe that’s the most they can reproduce ,202.033,202.536,0,5,5,5,1,C,G,D,G_C_D.png,training,1,6,3,low,color,feet,Y,G,C,F,12,3_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,202.541,219.244,1,[13.715000000000003],[13.715000000000003],Maybe the color shows how fertile they are ,219.245,219.746,0,6,6,6,1,C,Y,D,Y_C_D.png,training,1,7,5,high,color,feet,Y,G,C,F,12,5_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,219.751,236.684,1,[13.947000000000003],[13.947000000000003],A more firtle species,236.685,237.188,0,7,7,7,1,F,Y,D,Y_F_D.png,training,1,8,5,high,color,feet,Y,G,C,F,12,5_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,237.193,245.859,1,[5.677999999999997],[5.677999999999997],Mating season,245.86,246.364,0,8,8,8,1,C,Y,L,Y_C_L.png,training,2,9,8,high,color,feet,Y,G,C,F,12,8_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,246.368,251.319,1,[1.961999999999989],[1.961999999999989],Mating season,251.32,251.823,0,9,9,9,1,F,Y,D,Y_F_D.png,training,2,10,8,high,color,feet,Y,G,C,F,12,8_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,251.827,264.812,1,[9.997000000000014],[9.997000000000014],"Wasn’t in mating season , too young to reproduce ",264.813,265.316,0,10,10,10,1,F,G,L,G_F_L.png,training,2,11,1,low,color,feet,Y,G,C,F,12,1_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,265.319,271.687,1,[3.3789999999999623],[3.3789999999999623],Older reptile,271.687,272.191,0,11,11,11,1,C,G,L,G_C_L.png,training,2,12,6,low,color,feet,Y,G,C,F,12,6_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,272.195,294.925,1,[19.74599999999998],[19.74599999999998],This reptile can quickly reproduce and is more likely to be fertile,294.926,295.43,0,12,12,12,1,F,Y,L,Y_F_L.png,training,2,13,5,high,color,feet,Y,G,C,F,12,5_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,295.434,313.795,1,[15.363999999999976],[15.363999999999976],Fertile family,313.796,314.298,0,13,13,13,1,F,G,D,G_F_D.png,training,2,14,4,low,color,feet,Y,G,C,F,12,4_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,314.302,318.58,1,[1.2980000000000018],[1.2980000000000018],Fertile family ,318.58,319.081,0,14,14,14,1,C,G,D,G_C_D.png,training,2,15,4,low,color,feet,Y,G,C,F,12,4_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
