consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,215.1373,218.1443,1,[0.008400000005963193],[0.008400000005963193],,218.1443,218.6433,0,17,17,17,1,F,G,L,G_F_L.png,training,3,18,2,low,feet,color,C,F,Y,G,1,2_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,218.6454,221.6527,1,[0.008499999999997954],[0.008499999999997954],,221.6528,222.1508,0,18,18,18,1,F,Y,L,Y_F_L.png,training,3,19,5,low,feet,color,C,F,Y,G,1,5_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,222.1527,225.1526,1,[0.009300000004458298],[0.009300000004458298],,225.1526,225.6516,0,19,19,19,1,C,Y,L,Y_C_L.png,training,3,20,7,high,feet,color,C,F,Y,G,1,7_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,225.6536,228.6606,1,[0.008300000004453523],[0.008300000004453523],,228.6606,229.1589,0,20,20,20,1,F,G,D,G_F_D.png,training,3,21,2,low,feet,color,C,F,Y,G,1,2_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,229.1613,232.1611,1,[0.008500000000026375],[0.008500000000026375],,232.1613,232.6598,0,21,21,21,1,C,Y,D,Y_C_D.png,training,3,22,8,high,feet,color,C,F,Y,G,1,8_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,232.6628,235.6618,1,[0.009200000002977049],[0.009200000002977049],,235.6619,236.1598,0,22,22,22,1,F,Y,D,Y_F_D.png,training,3,23,2,low,feet,color,C,F,Y,G,1,2_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,236.1613,239.1698,1,[0.008599999994032714],[0.008599999994032714],,239.1699,239.6681,0,23,23,23,1,C,G,D,G_C_D.png,training,3,24,6,high,feet,color,C,F,Y,G,1,6_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.6689,242.6815,1,[0.013000000000033651],[0.013000000000033651],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,Y,L,Y_C_L.png,training,1,1,8,high,feet,color,C,F,Y,G,1,8_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,242.7034,258.0597,"[4,3,7,8,6,7,7,8]",1,[0.5585000000000377],[0.5585000000000377],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.061,268.1516,,,No,9.5115,,,1,[0.5833000000044422],[0.5833000000044422],0,0,0,2,1,bright,"Reptiles varied in whether they exhibited a LIGHT or DARK version of their color. Did being LIGHT or DARK make a difference to fertility? If you did not notice this feature until now, or believe it did not make a difference to fertility, please hit no and proceed.",Did brightness matter to the fertility of reptiles?,"Light, Dark",LightvDark.png,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.1534,274.7597,,,No,5.6525,,,1,[0.9583999999985053],[0.9583999999985053],0,1,1,1,1,feet,"Reptiles varied in whether they had ROUND feet or POINTY, CURLY feet. Did having CURLY/POINTY or ROUND feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Curly/Pointy, Round",RoundvCurly.png,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.7616,279.1345,,,No,3.5552,,,1,[0.8245999999940636],[0.8245999999940636],0,2,2,0,1,color,"Reptiles varied in whether they were GREEN or RED. Did being GREEN or RED make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did color matter to the fertility of reptiles?,"Green, Red",RedvGreen.png,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.1348,282.093,1,[0.9584000000059518],[0.9584000000059518],0,[],[],0,[],[],0,[],[],,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.0932,285.0185,,1,[1.9249000000059482],[1.9249000000059482],
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
