consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,510.3683,562.069,1,[48.70060000002388],[48.70060000002388],correlated and favorable body size and age that enhance high fertility rate in reptiles,562.0691,562.5678,0,5,5,5,1,F,G,L,G_F_L.png,training,1,6,7,high,feet,color,F,C,Y,G,11,7_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,562.57,589.186,1,[23.617199999928516],[23.617299999952365],lack of resources during the breeding season,589.1862,589.6847,0,6,6,6,1,C,Y,L,Y_C_L.png,training,1,7,4,low,feet,color,F,C,Y,G,11,4_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,589.6864,632.4612,1,[39.775300000071525],[39.775300000071525],unpredictable favorable environmental conditions like temperature,632.4613,632.9521,0,7,7,7,1,C,G,D,G_C_D.png,training,1,8,5,low,feet,color,F,C,Y,G,11,5_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,632.9541,673.1708,1,[37.21749999999997],[37.21749999999997],the reptile was in a high reproductive mode,673.1708,673.6696,0,8,8,8,1,F,G,L,G_F_L.png,training,2,9,7,high,feet,color,F,C,Y,G,11,7_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,673.6715,711.8884,1,[35.21739999997624],[35.21739999997624],lack of male to fertilize the eggs during the breeding season,711.8885,712.3868,0,9,9,9,1,C,Y,L,Y_C_L.png,training,2,10,2,low,feet,color,F,C,Y,G,11,2_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,712.4092,756.1097,1,[40.72160000002384],[40.72160000002384],older reptiles have a lower fertility rate,756.1098,756.6043,0,10,10,10,1,C,G,D,G_C_D.png,training,2,11,2,low,feet,color,F,C,Y,G,11,2_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,756.6067,793.0061,1,[33.400499999999965],[33.400499999999965],attack by predators and poor conditions for breeding,793.0062,793.5049,0,11,11,11,1,C,Y,D,Y_C_D.png,training,2,12,1,low,feet,color,F,C,Y,G,11,1_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,793.5066,816.3565,1,[19.850399999976162],[19.850399999976162],availability of male companion to fertilize all the eggs,816.3566,816.86,0,12,12,12,1,F,Y,L,Y_F_L.png,training,2,13,8,high,feet,color,F,C,Y,G,11,8_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,816.8618,846.8235,1,[26.967200000047683],[26.967200000047683],reproductive mode at its peak to necessitate fertility and breeding,846.8236,847.3224,0,13,13,13,1,F,G,D,G_F_D.png,training,2,14,7,high,feet,color,F,C,Y,G,11,7_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,847.324,901.8581,1,[51.53429999995228],[51.53429999995228],quality habitat and nesting site safety,901.8582,902.3614,0,14,14,14,1,F,Y,D,Y_F_D.png,training,2,15,6,high,feet,color,F,C,Y,G,11,6_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,902.3633,936.6919,1,[31.33400000000006],[31.33400000000006],poor health of the reptiles and heavy parasite load,936.692,937.1908,0,15,15,15,1,C,G,L,G_C_L.png,training,2,16,2,low,feet,color,F,C,Y,G,11,2_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
