consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,603.575,615.264,1,[8.696000000000026],[8.696000000000026],This reptile may have a naturally lower fertility,615.274,615.761,0,21,21,21,1,C,G,L,G_C_L.png,training,3,22,3,high,feet,color,C,F,Y,G,9,3_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,615.772,626.36,1,[7.59699999999998],[7.59699999999998],This reptile may not be as attractive to mates due to soft color,626.362,626.857,0,22,22,22,1,F,Y,L,Y_F_L.png,training,3,23,3,low,feet,color,C,F,Y,G,9,3_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,626.866,639.82,1,[9.962999999999965],[9.962999999999965],This reptile may not be as attractive to mates due to soft color,639.821,640.32,0,23,23,23,1,C,Y,L,Y_C_L.png,training,3,24,4,high,feet,color,C,F,Y,G,9,4_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.321,644.585,1,[1.2649999999999864],[1.2649999999999864],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,G,L,G_C_L.png,training,1,1,10,high,feet,color,C,F,Y,G,9,10_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low",,,,,,644.64,667.477,"[3,2,5,3,2,8,5,8]",1,[0.8999999999999773],[0.8999999999999773],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.484,682.589,5,14.165,Yes,4.925, Round, Round,11.016,1,[0.9489999999999554],[0.9489999999999554],0,0,0,1,1,feet,"Reptiles varied in whether they had ROUND feet or POINTY, CURLY feet. Did having CURLY/POINTY or ROUND feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Curly/Pointy, Round",RoundvCurly.png,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.597,704.582,6,21.529,Yes,4.235,Green,0,17.935,1,[1.3999999999999773],[1.3999999999999773],0,1,1,0,1,color,"Reptiles varied in whether they were GREEN or RED. Did being GREEN or RED make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did color matter to the fertility of reptiles?,"Green, Red",RedvGreen.png,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.587,713.929,7,8.867,Yes,3.02,Light,0,5.835,1,[0.4820000000000846],[0.4820000000000846],0,2,2,2,1,bright,"Reptiles varied in whether they exhibited a LIGHT or DARK version of their color. Did being LIGHT or DARK make a difference to fertility? If you did not notice this feature until now, or believe it did not make a difference to fertility, please hit no and proceed.",Did brightness matter to the fertility of reptiles?,"Light, Dark",LightvDark.png,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.931,718.177,0,[],[],0,[],[],1,[2.24899999999991],[2.24899999999991],0,[],[],,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718.178,721.742,,1,[2.566000000000031],[2.566000000000031],
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
