consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,013,2026-03-05_16h13.08.097,explain2,2025.1.1,Win32,60.24096386,5f06e8146c99472609ebcf8a,69a9bda61d47b7a3311bd545,69aa0de9d3576866a74d37d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,013,2026-03-05_16h13.08.097,explain2,2025.1.1,Win32,60.24096386,5f06e8146c99472609ebcf8a,69a9bda61d47b7a3311bd545,69aa0de9d3576866a74d37d0,9.2349,9.2351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,013,2026-03-05_16h13.08.097,explain2,2025.1.1,Win32,60.24096386,5f06e8146c99472609ebcf8a,69a9bda61d47b7a3311bd545,69aa0de9d3576866a74d37d0,,,9.2357,17.4324,1,[5.198899999976167],[5.198899999976167],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,013,2026-03-05_16h13.08.097,explain2,2025.1.1,Win32,60.24096386,5f06e8146c99472609ebcf8a,69a9bda61d47b7a3311bd545,69aa0de9d3576866a74d37d0,,,,,,,,17.4326,33.4294,1,[12.997599999904637],[12.997599999904637],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,013,2026-03-05_16h13.08.097,explain2,2025.1.1,Win32,60.24096386,5f06e8146c99472609ebcf8a,69a9bda61d47b7a3311bd545,69aa0de9d3576866a74d37d0,,,,,,,,,,,,,33.4297,44.6604,1,[8.231699999928473],[8.231699999928473],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,013,2026-03-05_16h13.08.097,explain2,2025.1.1,Win32,60.24096386,5f06e8146c99472609ebcf8a,69a9bda61d47b7a3311bd545,69aa0de9d3576866a74d37d0,,,,,,,,,,,,,,,,,,44.6668,75.0549,1,[27.394299999952324],[27.394299999952324],The reptile is more isolated than others.,75.0553,75.555,0,0,0,0,1,F,G,D,G_F_D.png,training,1,1,1,low,feet,color,C,F,G,Y,13,1_score.png,"Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png","low,high,high,low,low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,013,2026-03-05_16h13.08.097,explain2,2025.1.1,Win32,60.24096386,5f06e8146c99472609ebcf8a,69a9bda61d47b7a3311bd545,69aa0de9d3576866a74d37d0,,,,,,,,,,,,,,,,,,75.5578,89.2021,1,[10.647499999999994],[10.647499999999994],The color of the reptile protects and attracts mates.,89.2022,89.7018,0,1,1,1,1,C,Y,D,Y_C_D.png,training,1,2,6,high,feet,color,C,F,G,Y,13,6_score.png,"Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png","low,high,high,low,low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,013,2026-03-05_16h13.08.097,explain2,2025.1.1,Win32,60.24096386,5f06e8146c99472609ebcf8a,69a9bda61d47b7a3311bd545,69aa0de9d3576866a74d37d0,,,,,,,,,,,,,,,,,,89.7043,107.8816,1,[15.179800000071538],[15.179800000071538],The reptile is having an average breeding season.,107.8817,108.3815,0,2,2,2,1,F,Y,D,Y_F_D.png,training,1,3,4,low,feet,color,C,F,G,Y,13,4_score.png,"Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png","low,high,high,low,low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,013,2026-03-05_16h13.08.097,explain2,2025.1.1,Win32,60.24096386,5f06e8146c99472609ebcf8a,69a9bda61d47b7a3311bd545,69aa0de9d3576866a74d37d0,,,,,,,,,,,,,,,,,,108.3836,122.2125,1,[10.831299999952307],[10.831299999952307],The reptile is having an average breeding season.,122.2126,122.712,0,3,3,3,1,C,Y,L,Y_C_L.png,training,1,4,4,high,feet,color,C,F,G,Y,13,4_score.png,"Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png","low,high,high,low,low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,013,2026-03-05_16h13.08.097,explain2,2025.1.1,Win32,60.24096386,5f06e8146c99472609ebcf8a,69a9bda61d47b7a3311bd545,69aa0de9d3576866a74d37d0,,,,,,,,,,,,,,,,,,122.7146,144.7279,1,[19.01660000002383],[19.01660000002383],The reptile is in an area with more potential mates.,144.728,145.2242,0,4,4,4,1,F,G,L,G_F_L.png,training,1,5,5,low,feet,color,C,F,G,Y,13,5_score.png,"Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png","low,high,high,low,low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
