consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,019,2026-03-05_17h39.30.088,explain2,2025.1.1,iPhone,47.61904762,678951eaacd3135a38c86ec9,69a9bda61d47b7a3311bd545,69aa141720c9b74f9e755663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-03-05_17h39.30.088,explain2,2025.1.1,iPhone,47.61904762,678951eaacd3135a38c86ec9,69a9bda61d47b7a3311bd545,69aa141720c9b74f9e755663,13.216,13.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-03-05_17h39.30.088,explain2,2025.1.1,iPhone,47.61904762,678951eaacd3135a38c86ec9,69a9bda61d47b7a3311bd545,69aa141720c9b74f9e755663,,,13.219,53.687,1,[37.478000000000016],[37.478000000000016],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-03-05_17h39.30.088,explain2,2025.1.1,iPhone,47.61904762,678951eaacd3135a38c86ec9,69a9bda61d47b7a3311bd545,69aa141720c9b74f9e755663,,,,,,,,53.688,137.206,1,[80.527],[80.527],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-03-05_17h39.30.088,explain2,2025.1.1,iPhone,47.61904762,678951eaacd3135a38c86ec9,69a9bda61d47b7a3311bd545,69aa141720c9b74f9e755663,,,,,,,,,,,,,137.207,173.879,1,[33.678],[33.678],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-03-05_17h39.30.088,explain2,2025.1.1,iPhone,47.61904762,678951eaacd3135a38c86ec9,69a9bda61d47b7a3311bd545,69aa141720c9b74f9e755663,,,,,,,,,,,,,,,,,,173.893,191.351,1,[14.458999999999975],[14.458999999999975],Low birth rate,191.352,191.854,0,0,0,0,1,C,G,D,G_C_D.png,training,1,1,1,low,feet,color,F,C,G,Y,19,1_score.png,"Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","low,high,high,low,low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-03-05_17h39.30.088,explain2,2025.1.1,iPhone,47.61904762,678951eaacd3135a38c86ec9,69a9bda61d47b7a3311bd545,69aa141720c9b74f9e755663,,,,,,,,,,,,,,,,,,191.858,210.08,1,[15.225999999999999],[15.225999999999999],Limited amount of the mate ,210.081,210.571,0,1,1,1,1,C,Y,L,Y_C_L.png,training,1,2,3,low,feet,color,F,C,G,Y,19,3_score.png,"Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","low,high,high,low,low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-03-05_17h39.30.088,explain2,2025.1.1,iPhone,47.61904762,678951eaacd3135a38c86ec9,69a9bda61d47b7a3311bd545,69aa141720c9b74f9e755663,,,,,,,,,,,,,,,,,,210.576,240.233,1,[26.661],[26.661],The color is readily available in the summer.,240.234,240.723,0,2,2,2,1,F,Y,D,Y_F_D.png,training,1,3,8,high,feet,color,F,C,G,Y,19,8_score.png,"Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","low,high,high,low,low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-03-05_17h39.30.088,explain2,2025.1.1,iPhone,47.61904762,678951eaacd3135a38c86ec9,69a9bda61d47b7a3311bd545,69aa141720c9b74f9e755663,,,,,,,,,,,,,,,,,,240.728,282.118,1,[38.394000000000005],[38.394000000000005],It is a reptile that lives near water.,282.119,282.609,0,3,3,3,1,F,Y,L,Y_F_L.png,training,1,4,10,high,feet,color,F,C,G,Y,19,10_score.png,"Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","low,high,high,low,low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-03-05_17h39.30.088,explain2,2025.1.1,iPhone,47.61904762,678951eaacd3135a38c86ec9,69a9bda61d47b7a3311bd545,69aa141720c9b74f9e755663,,,,,,,,,,,,,,,,,,282.613,313.537,1,[27.926999999999964],[27.926999999999964],Too hot for their survival.,313.537,314.028,0,4,4,4,1,C,G,L,G_C_L.png,training,1,5,1,low,feet,color,F,C,G,Y,19,1_score.png,"Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","low,high,high,low,low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
