consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,580.8014,589.9779,1,[6.19500000000005],[6.19500000000005],Average fertility score based on species,589.978,590.4814,0,22,22,22,1,C,G,L,G_C_L.png,training,3,23,4,low,color,feet,Y,G,C,F,8,4_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,590.4848,614.5601,1,[21.079299999997033],[21.079299999997033],Green reptiles are not as fertile as red reptiles. Conditions not ideal,614.5602,615.0388,0,23,23,23,1,C,G,D,G_C_D.png,training,3,24,2,low,color,feet,Y,G,C,F,8,2_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.0401,620.0789,1,[2.0575000000000045],[2.0575000000000045],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Y,D,Y_F_D.png,training,1,1,7,high,color,feet,Y,G,C,F,8,7_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,620.0957,659.7167,"[7,4,5,9,10,2,3,8]",1,[1.1379000000059705],[1.1379000000059705],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.72,672.5228,,,No,11.8972,,,1,[0.9336999999881073],[0.9336999999881073],0,0,0,1,1,feet,"Reptiles varied in whether they had ROUND feet or POINTY, CURLY feet. Did having CURLY/POINTY or ROUND feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Curly/Pointy, Round",RoundvCurly.png,,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.524,694.5982,7,21.4974,Yes,6.6508,1,14.6509,1,[2.270099999994045],[2.270099999994045],0,1,1,2,1,bright,"Reptiles varied in whether they exhibited a LIGHT or DARK version of their color. Did being LIGHT or DARK make a difference to fertility? If you did not notice this feature until now, or believe it did not make a difference to fertility, please hit no and proceed.",Did brightness matter to the fertility of reptiles?,"Light, Dark",LightvDark.png, Dark,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.6011,711.2032,7,10.6433,Yes,5.2384,1,15.6888,1,[0.9447000000029675],[0.9447000000029675],0,2,2,0,1,color,"Reptiles varied in whether they were GREEN or RED. Did being GREEN or RED make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did color matter to the fertility of reptiles?,"Green, Red",RedvGreen.png, Red,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.2037,717.6361,0,[],[],0,[],[],1,[4.462099999994052],[4.462099999994052],0,[],[],,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717.6363,719.3837,,1,[0.7750999999940404],[0.7750999999940404],
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
