consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,004,2026-03-05_17h55.50.203,explain2,2025.1.1,Linux armv81,59.88023952,6995f2126c93701d4f3b28e0,69a9bda61d47b7a3311bd545,69aa17c509518d5c2bae156c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-03-05_17h55.50.203,explain2,2025.1.1,Linux armv81,59.88023952,6995f2126c93701d4f3b28e0,69a9bda61d47b7a3311bd545,69aa17c509518d5c2bae156c,18.1625,18.1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-03-05_17h55.50.203,explain2,2025.1.1,Linux armv81,59.88023952,6995f2126c93701d4f3b28e0,69a9bda61d47b7a3311bd545,69aa17c509518d5c2bae156c,,,18.1633,34.674,1,[13.51930000000074],[13.51930000000074],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-03-05_17h55.50.203,explain2,2025.1.1,Linux armv81,59.88023952,6995f2126c93701d4f3b28e0,69a9bda61d47b7a3311bd545,69aa17c509518d5c2bae156c,,,,,,,,34.6744,53.3307,1,[15.663399999998518],[15.663399999998518],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-03-05_17h55.50.203,explain2,2025.1.1,Linux armv81,59.88023952,6995f2126c93701d4f3b28e0,69a9bda61d47b7a3311bd545,69aa17c509518d5c2bae156c,,,,,,,,,,,,,53.3312,67.6277,1,[11.2986000000015],[11.2986000000015],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-03-05_17h55.50.203,explain2,2025.1.1,Linux armv81,59.88023952,6995f2126c93701d4f3b28e0,69a9bda61d47b7a3311bd545,69aa17c509518d5c2bae156c,,,,,,,,,,,,,,,,,,67.6421,115.0375,1,[44.40809999999777],[44.408199999999255],"The reptile visually looks like it is likely a prey, meaning their children or offspring may have passed due to being hunted.",115.038,115.5328,0,0,0,0,1,C,G,D,G_C_D.png,training,1,1,4,low,color,feet,Y,G,C,F,4,4_score.png,"Resources/G_C_L.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/G_F_L.png","low,high,high,low,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-03-05_17h55.50.203,explain2,2025.1.1,Linux armv81,59.88023952,6995f2126c93701d4f3b28e0,69a9bda61d47b7a3311bd545,69aa17c509518d5c2bae156c,,,,,,,,,,,,,,,,,,115.5385,169.5236,1,[50.9905],[50.9905],This reptile is noticeably darker and less saturated. Perhaps their colors made it difficult to survive.,169.5241,170.0217,0,1,1,1,1,F,G,D,G_F_D.png,training,1,2,1,low,color,feet,Y,G,C,F,4,1_score.png,"Resources/G_C_L.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/G_F_L.png","low,high,high,low,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-03-05_17h55.50.203,explain2,2025.1.1,Linux armv81,59.88023952,6995f2126c93701d4f3b28e0,69a9bda61d47b7a3311bd545,69aa17c509518d5c2bae156c,,,,,,,,,,,,,,,,,,170.0271,230.9925,1,[57.970099999997785],[57.970099999997785],"This reptile is bright, as if warning predators that they are dangerous.",230.9928,231.4905,0,2,2,2,1,C,Y,L,Y_C_L.png,training,1,3,8,high,color,feet,Y,G,C,F,4,8_score.png,"Resources/G_C_L.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/G_F_L.png","low,high,high,low,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-03-05_17h55.50.203,explain2,2025.1.1,Linux armv81,59.88023952,6995f2126c93701d4f3b28e0,69a9bda61d47b7a3311bd545,69aa17c509518d5c2bae156c,,,,,,,,,,,,,,,,,,231.4957,270.4667,1,[36.240300000000786],[36.240399999998544],"This reptile has a bright color, suggesting it may be dangerous, though it's fertility isn't particularly high. Perhaps a few predators figured out the color was a false warning.",270.4668,270.966,0,3,3,3,1,F,Y,L,Y_F_L.png,training,1,4,5,high,color,feet,Y,G,C,F,4,5_score.png,"Resources/G_C_L.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/G_F_L.png","low,high,high,low,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-03-05_17h55.50.203,explain2,2025.1.1,Linux armv81,59.88023952,6995f2126c93701d4f3b28e0,69a9bda61d47b7a3311bd545,69aa17c509518d5c2bae156c,,,,,,,,,,,,,,,,,,270.972,295.5282,1,[21.562199999999223],[21.562300000000732],"This color is saturated and bright, and red is known to be dangerous.",295.5283,296.0262,0,4,4,4,1,C,Y,D,Y_C_D.png,training,1,5,10,high,color,feet,Y,G,C,F,4,10_score.png,"Resources/G_C_L.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/G_F_L.png","low,high,high,low,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
