consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,002,2026-03-05_15h02.09.829,explain2,2025.1.1,Win32,60.60606061,67325d10b9e0c58d803cd7ba,69a9bda61d47b7a3311bd545,69aa0b5448b2e972026817b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-03-05_15h02.09.829,explain2,2025.1.1,Win32,60.60606061,67325d10b9e0c58d803cd7ba,69a9bda61d47b7a3311bd545,69aa0b5448b2e972026817b1,5.6045,5.6046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-03-05_15h02.09.829,explain2,2025.1.1,Win32,60.60606061,67325d10b9e0c58d803cd7ba,69a9bda61d47b7a3311bd545,69aa0b5448b2e972026817b1,,,5.6049,15.1688,1,[6.567],[6.567],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-03-05_15h02.09.829,explain2,2025.1.1,Win32,60.60606061,67325d10b9e0c58d803cd7ba,69a9bda61d47b7a3311bd545,69aa0b5448b2e972026817b1,,,,,,,,15.169,30.7684,1,[12.599300000011922],[12.599300000011922],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-03-05_15h02.09.829,explain2,2025.1.1,Win32,60.60606061,67325d10b9e0c58d803cd7ba,69a9bda61d47b7a3311bd545,69aa0b5448b2e972026817b1,,,,,,,,,,,,,30.7686,40.9027,1,[7.1337999999821164],[7.1337999999821164],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-03-05_15h02.09.829,explain2,2025.1.1,Win32,60.60606061,67325d10b9e0c58d803cd7ba,69a9bda61d47b7a3311bd545,69aa0b5448b2e972026817b1,,,,,,,,,,,,,,,,,,40.9122,70.9369,1,[27.03340000000597],[27.03340000000597],They had a large offspring that survived.,70.9378,71.4351,0,0,0,0,1,C,G,D,G_C_D.png,training,1,1,8,high,color,feet,G,Y,F,C,2,8_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/Y_C_L.png,Resources/G_C_D.png","high,high,high,low,low,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-03-05_15h02.09.829,explain2,2025.1.1,Win32,60.60606061,67325d10b9e0c58d803cd7ba,69a9bda61d47b7a3311bd545,69aa0b5448b2e972026817b1,,,,,,,,,,,,,,,,,,71.4391,95.2694,1,[20.83380000001192],[20.83380000001192],They did not have as many offspring.,95.27,95.7685,0,1,1,1,1,F,Y,L,Y_F_L.png,training,1,2,4,low,color,feet,G,Y,F,C,2,4_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/Y_C_L.png,Resources/G_C_D.png","high,high,high,low,low,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-03-05_15h02.09.829,explain2,2025.1.1,Win32,60.60606061,67325d10b9e0c58d803cd7ba,69a9bda61d47b7a3311bd545,69aa0b5448b2e972026817b1,,,,,,,,,,,,,,,,,,95.7724,110.3704,1,[11.599999999999994],[11.599999999999994],They had a high amount of offspring.,110.3706,110.869,0,2,2,2,1,F,G,D,G_F_D.png,training,1,3,7,high,color,feet,G,Y,F,C,2,7_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/Y_C_L.png,Resources/G_C_D.png","high,high,high,low,low,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-03-05_15h02.09.829,explain2,2025.1.1,Win32,60.60606061,67325d10b9e0c58d803cd7ba,69a9bda61d47b7a3311bd545,69aa0b5448b2e972026817b1,,,,,,,,,,,,,,,,,,110.8726,125.97,1,[12.100199999988092],[12.100199999988092],They did not have many offspring that survived.,125.9704,126.4682,0,3,3,3,1,C,Y,D,Y_C_D.png,training,1,4,1,low,color,feet,G,Y,F,C,2,1_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/Y_C_L.png,Resources/G_C_D.png","high,high,high,low,low,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-03-05_15h02.09.829,explain2,2025.1.1,Win32,60.60606061,67325d10b9e0c58d803cd7ba,69a9bda61d47b7a3311bd545,69aa0b5448b2e972026817b1,,,,,,,,,,,,,,,,,,126.4727,141.5033,1,[12.033500000000004],[12.033500000000004],They had a medium amount of offspring.,141.5037,142.0017,0,4,4,4,1,C,G,L,G_C_L.png,training,1,5,6,high,color,feet,G,Y,F,C,2,6_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/Y_C_L.png,Resources/G_C_D.png","high,high,high,low,low,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
