consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,direction_response_label_mid,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,,,,,,260.711,286.415,1,[22.713000000000022],[22.713000000000022],Non webbed feet but horizontal stripes. ,286.416,287.412,0,4,4,4,1,C,W,W_C.png,training,2,5,8,high,feet,stripes,C,F,E,W,177,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,,,,,,287.418,302.908,1,[12.536999999999978],[12.536999999999978],Vertical stripes but has webbed feet,302.908,303.903,0,5,5,5,1,F,E,E_F.png,training,2,6,4,low,feet,stripes,C,F,E,W,177,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,,,,,,303.912,322.553,1,[15.658999999999992],[15.658999999999992],Horizontal stripes and webbed feet ,322.554,323.556,0,6,6,6,1,F,W,W_F.png,training,2,7,2,low,feet,stripes,C,F,E,W,177,2_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,,,,,,323.563,337.905,1,[11.355999999999995],[11.355999999999995],Vertical stripes and non webbed feet,337.905,338.893,,,,,,,,,,,,,,,,,,,,,,,,338.902,344.652,1,[0.7579999999999814],[0.7579999999999814],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.655,408.91,5,29.563,Yes,19.111, Curved/Pointy,63.063,1,[1.1870000000000118],[1.1870000000000118], Curved/Pointy,0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.924,429.529,6,19.832,Yes,2.095,1,13.482,1,[0.7729999999999677],[0.7729999999999677], Up/Right,0,1,1,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.531,430.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,C,E,E_C.png,training,2,8,10,high,feet,stripes,C,F,E,W,177,10_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,,,,,,430.526,481.123,1,[47.6160000000001],[47.6160000000001],It has non webbed feet which brings fertility up but horizontal stripes which brings it down ,481.124,482.123,0,8,8,8,1,C,W,W_C.png,training,3,9,7,high,feet,stripes,C,F,E,W,177,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,,,,,,482.13,543.802,1,[58.678],[58.678],It has vertical stripes and non wedded feet. This tells me that stripes don’t matter,543.803,544.798,0,9,9,9,1,C,E,E_C.png,training,3,10,7,high,feet,stripes,C,F,E,W,177,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
