consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,direction_response_label_mid,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,076,2026-06-08_13h57.53.196,explain2,2025.1.1,Win32,60.60606061,6a19e1ab1dbd260a20a47483,6a26c1e06d405ffebfdf503d,6a270269fc59bed147171cb3,,,,,,,,,,,,,,,,,,,,,,,338.5026,372.2365,1,[30.749000000000024],[30.749000000000024],"stripes down left are more fertile, sharp claws are less fertile",372.2366,373.2372,0,4,4,4,1,C,E,E_C.png,training,2,5,6,high,stripes,feet,E,W,F,C,76,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,076,2026-06-08_13h57.53.196,explain2,2025.1.1,Win32,60.60606061,6a19e1ab1dbd260a20a47483,6a26c1e06d405ffebfdf503d,6a270269fc59bed147171cb3,,,,,,,,,,,,,,,,,,,,,,,373.2386,396.1114,1,[19.88749999999999],[19.88749999999999],"stripes down and left, webbed feet, both highly fertile",396.1115,397.1121,0,5,5,5,1,F,E,E_F.png,training,2,6,9,high,stripes,feet,E,W,F,C,76,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,076,2026-06-08_13h57.53.196,explain2,2025.1.1,Win32,60.60606061,6a19e1ab1dbd260a20a47483,6a26c1e06d405ffebfdf503d,6a270269fc59bed147171cb3,,,,,,,,,,,,,,,,,,,,,,,397.1135,435.3693,1,[35.27020000004768],[35.27020000004768],"down right stripes low fertility, webbed feet high fertility with variance",435.3694,436.37,0,6,6,6,1,F,W,W_F.png,training,2,7,4,low,stripes,feet,E,W,F,C,76,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,076,2026-06-08_13h57.53.196,explain2,2025.1.1,Win32,60.60606061,6a19e1ab1dbd260a20a47483,6a26c1e06d405ffebfdf503d,6a270269fc59bed147171cb3,,,,,,,,,,,,,,,,,,,,,,,436.3714,461.48,1,[22.12310000014304],[22.12310000014304],stripes down right and sharp claws both less fertile,461.4801,462.4809,,,,,,,,,,,,,,,,,,,,,,,,462.4816,473.4925,1,[6.023200000047609],[6.023200000047609],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,076,2026-06-08_13h57.53.196,explain2,2025.1.1,Win32,60.60606061,6a19e1ab1dbd260a20a47483,6a26c1e06d405ffebfdf503d,6a270269fc59bed147171cb3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.4936,496.133,4,19.3423,Yes,9.1524,Webbed,11.8674,1,[7.741399999856981],[7.741399999856981],Webbed,0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,076,2026-06-08_13h57.53.196,explain2,2025.1.1,Win32,60.60606061,6a19e1ab1dbd260a20a47483,6a26c1e06d405ffebfdf503d,6a270269fc59bed147171cb3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.1346,513.301,7,10.7416,Yes,1.9424,0,7.3983,1,[6.423700000047688],[6.423700000047688],Up/Left,0,1,1,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,076,2026-06-08_13h57.53.196,explain2,2025.1.1,Win32,60.60606061,6a19e1ab1dbd260a20a47483,6a26c1e06d405ffebfdf503d,6a270269fc59bed147171cb3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.3015,514.3018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,076,2026-06-08_13h57.53.196,explain2,2025.1.1,Win32,60.60606061,6a19e1ab1dbd260a20a47483,6a26c1e06d405ffebfdf503d,6a270269fc59bed147171cb3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,C,W,W_C.png,training,2,8,3,low,stripes,feet,E,W,F,C,76,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,076,2026-06-08_13h57.53.196,explain2,2025.1.1,Win32,60.60606061,6a19e1ab1dbd260a20a47483,6a26c1e06d405ffebfdf503d,6a270269fc59bed147171cb3,,,,,,,,,,,,,,,,,,,,,,,514.3027,544.1167,1,[26.828200000047673],[26.828200000047673],"up/left stripes less fertile, pointy claws less fertile",544.1168,545.1174,0,8,8,8,1,C,W,W_C.png,training,3,9,1,low,stripes,feet,E,W,F,C,76,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,076,2026-06-08_13h57.53.196,explain2,2025.1.1,Win32,60.60606061,6a19e1ab1dbd260a20a47483,6a26c1e06d405ffebfdf503d,6a270269fc59bed147171cb3,,,,,,,,,,,,,,,,,,,,,,,545.1189,566.9908,1,[18.886499999999955],[18.886599999904547],"up/right stripes more fertile, webbed feet more fertile",566.9908,567.9913,0,9,9,9,1,F,E,E_F.png,training,3,10,9,high,stripes,feet,E,W,F,C,76,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
