consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,direction_response_label_mid,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,,,,,,370.2993,385.4875,1,[12.19410000002381],[12.19410000002381],Striped body,385.4876,386.4832,0,4,4,4,1,C,W,W_C.png,training,2,5,6,low,stripes,feet,E,W,C,F,240,6_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,,,,,,386.4899,394.0787,1,[4.596699999928546],[4.596699999928546],Flat toes,394.0788,395.0779,0,5,5,5,1,F,W,W_F.png,training,2,6,1,low,stripes,feet,E,W,C,F,240,1_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,,,,,,395.083,414.3524,1,[16.27299999999991],[16.27299999999991],Striped body,414.3527,415.3492,0,6,6,6,1,F,E,E_F.png,training,2,7,8,high,stripes,feet,E,W,C,F,240,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,,,,,,415.3572,429.3426,1,[10.993399999976077],[10.993399999976077],Striped body And curled toes,429.3429,430.3399,,,,,,,,,,,,,,,,,,,,,,,,430.3585,436.7861,1,[1.4318999999761672],[1.4318999999761672],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.7953,493.8907,5,39.1079,Yes,6.3636, Curved/Pointy,49.2363,1,[7.8457000000476],[7.845799999952305], Curved/Pointy,0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.9013,514.572,6,11.6711,Yes,6.8052,1,19.6888,1,[0.98210000002382],[0.9823000000715183], Up/Right,0,1,1,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.586,515.5707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,C,E,E_C.png,training,2,8,9,high,stripes,feet,E,W,C,F,240,9_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,,,,,,515.5797,542.3341,1,[23.755899999976123],[23.75629999995226],Webbed toes,542.3354,543.3367,0,8,8,8,1,F,E,E_F.png,training,3,9,4,high,stripes,feet,E,W,C,F,240,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,,,,,,543.376,569.1901,1,[22.837499999999977],[22.837499999999977],"Left stripes, higher score",569.1903,570.1873,0,9,9,9,1,F,W,W_F.png,training,3,10,7,low,stripes,feet,E,W,C,F,240,7_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
